name,type,cost
Namazu Earring,Item,100
Blissful Kamuy,Mount,50
Tyrannosaur,Mount,50
Falcon,Mount,50
Magitek Predator,Mount,50
Decisions,Orchestrion,50
Ultima Horns,Item,30
Cavalry Drake,Mount,30
Laurel Goobbue,Mount,30
Cavalry Elbst,Mount,30
Bomb Palanquin,Mount,30
Direwolf,Mount,30
Gullfaxi,Mount,30
Markab,Mount,30
Nightmare,Mount,30
MGP Platinum Card,Item,30
Middle La Noscea Riding Map,Item,15
Lower La Noscea Riding Map,Item,15
Eastern La Noscea Riding Map,Item,15
Western La Noscea Riding Map,Item,15
Upper La Noscea Riding Map,Item,15
Outer La Noscea Riding Map,Item,15
Central Shroud Riding Map,Item,15
East Shroud Riding Map,Item,15
South Shroud Riding Map,Item,15
North Shroud Riding Map,Item,15
Western Thanalan Riding Map,Item,15
Central Thanalan Riding Map,Item,15
Eastern Thanalan Riding Map,Item,15
Southern Thanalan Riding Map,Item,15
Northern Thanalan Riding Map,Item,15
Coerthas Central Highlands Riding Map,Item,15
Mor Dhona Riding Map,Item,15
Iron Dwarf,Minion,7
Salt & Pepper Seal,Minion,7
Fat Chocobo Card,Item,7
The Griffin Card,Item,7
Zurvan Card,Item,7
Smoulder,Orchestrion,7
Coming Home,Orchestrion,7
Mariner Cotton Cloth,Item,5
Magicked Prism (Job Mastery),Item,1
