name,type,cost
Ixion,Mount,50
Demonic Lanner,Mount,50
Reveling Kamuy,Mount,50
Unspoken,Orchestrion,50
Rise of the White Raven,Orchestrion,50
Cavalry Drake,Mount,30
Laurel Goobbue,Mount,30
Cavalry Elbst,Mount,30
Bomb Palanquin,Mount,30
Direwolf,Mount,30
Aithon,Mount,30
Boreas,Mount,30
Calca,Minion,7
Brina,Minion,7
Seven Hundred Seventy-Seven Whiskers,Orchestrion,7
Primal Judgment,Orchestrion,7
Mameshiba Neckerchief,Item,100
Qiqirn Earring,Item,30
Middle La Noscea Riding Map,Item,30
Lower La Noscea Riding Map,Item,30
Eastern La Noscea Riding Map,Item,30
Western La Noscea Riding Map,Item,30
Upper La Noscea Riding Map,Item,30
Outer La Noscea Riding Map,Item,30
Central Shroud Riding Map,Item,30
East Shroud Riding Map,Item,30
South Shroud Riding Map,Item,30
North Shroud Riding Map,Item,30
Western Thanalan Riding Map,Item,30
Central Thanalan Riding Map,Item,30
Eastern Thanalan Riding Map,Item,30
Southern Thanalan Riding Map,Item,30
Northern Thanalan Riding Map,Item,30
Coerthas Central Highlands Riding Map,Item,30
Mor Dhona Riding Map,Item,30
MGP Platinum Card,Item,30
Charibert Card,Item,7
Sephirot Card,Item,7
Gaius van Baelsar Card,Item,7
Magicked Prism (Job Mastery),Item,1
