name,type,cost
Falcon,Mount,50
Round Lanner,Mount,50
Sophic Lanner,Mount,50
Answers,Orchestrion,50
Twilight Over Thanalan,Orchestrion,50
On Windy Meadows,Orchestrion,50
Whisper of the Land,Orchestrion,50
Cavalry Drake,Mount,30
Laurel Goobbue,Mount,30
Cavalry Elbst,Mount,30
Bomb Palanquin,Mount,30
Direwolf,Mount,30
Gullfaxi,Mount,30
Markab,Mount,30
Wind-up Scathach,Minion,7
Wind-up Exdeath,Minion,7
Flibbertigibbet,Orchestrion,7
Piece of Mind,Orchestrion,7
Mameshiba Earring,Item,100
Thundercloud,Item,30
Behemoth Knives,Item,30
Behemoth Helm,Item,30
Behemoth Mask,Item,30
Ring of Lasting Shelter,Item,30
Pixie Earrings,Item,30
Middle La Noscea Riding Map,Item,30
Lower La Noscea Riding Map,Item,30
Eastern La Noscea Riding Map,Item,30
Western La Noscea Riding Map,Item,30
Upper La Noscea Riding Map,Item,30
Outer La Noscea Riding Map,Item,30
Central Shroud Riding Map,Item,30
East Shroud Riding Map,Item,30
South Shroud Riding Map,Item,30
North Shroud Riding Map,Item,30
Western Thanalan Riding Map,Item,30
Central Thanalan Riding Map,Item,30
Eastern Thanalan Riding Map,Item,30
Southern Thanalan Riding Map,Item,30
Northern Thanalan Riding Map,Item,30
Coerthas Central Highlands Riding Map,Item,30
Mor Dhona Riding Map,Item,30
MGP Platinum Card,Item,30
Odin Card,Item,7
Hancock Card,Item,7
Progenitrix Card,Item,7
Nidhogg Card,Item,7
Crag Heart,Item,4
Demimateria of Crags,Item,1
Magicked Prism (Job Mastery),Item,1
