name,type,cost
Great Serpent of Ringa,Armoire,100
Legendary Kamuy,Mount,50
Blissful Kamuy,Mount,50
Reveling Kamuy,Mount,50
Disembodied Head,Mount,50
Sweat,Emote,50
Shiver,Emote,80
Gyr Abanian Plait,Hairstyle,50
Form and Function,Hairstyle,50
Dancing Mad - Movement I,Orchestrion,50
Dancing Mad - Movement II,Orchestrion,50
Dancing Mad - Movement III,Orchestrion,50
Dancing Mad - Movement IV,Orchestrion,30
Scarf of Wondrous Wit,Armoire,1
Goobbue Earring,Armoire,1
Dodo Earring,Armoire,1
Cactuar Earring,Armoire,1
Bomb Earrings,Armoire,1
Coblyn Earring,Item,1
Taoist Moogle,Minion,1
Wind-up Ramza,Minion,7
OMG,Minion,7
Dwarf Rabbit,Minion,7
Zenos yae Galvus Card,Item,7
Susano Card,Item,7
Lakshmi Card,Item,7
Augmented Lost Allagan Helm of Fending,Item,15
Augmented Lost Allagan Surcoat of Fending,Item,15
Augmented Lost Allagan Gauntlets of Fending,Item,15
Augmented Lost Allagan Trousers of Fending,Item,15
Augmented Lost Allagan Sabatons of Fending,Item,15
Skallic Cap of Healing,Item,15
Skallic Jacket of Healing,Item,15
Skallic Gloves of Healing,Item,15
Skallic Bottoms of Healing,Item,15
Skallic Shoes of Healing,Item,15
Carbuncle Bathtub,Item,30
Eorzean Lantern,Item,30
Bomb Stove,Item,30
Corner Hedge Partition,Item,30
Hedge Partition,Item,30
Miniature Iloh,Item,30
Southern Kitchen,Item,30
Hingan Cleaning Supplies,Item,30
Grand Chair,Item,30
Picnic Set,Item,30
Pot of Cream Stew,Item,30
Mahogany Bunk Bed,Item,30
Bathroom Floor Tiles,Item,30
Verdant Partition,Item,60
MGP Platinum Card,Item,60
Magicked Prism (Job Mastery),Item,1
