name,type,cost
Magitek Predator,Mount,50
Warring Lanner,Mount,50
Answers,Orchestrion,50
Twilight over Thanalan,Orchestrion,50
On Windy Meadows,Orchestrion,50
Whisper of the Land,Orchestrion,50
Cavalry Drake,Mount,30
Laurel Goobbue,Mount,30
Cavalry Elbst,Mount,30
Bomb Palanquin,Mount,30
Direwolf,Mount,30
Xanthos,Mount,30
Enbarr,Mount,30
Wind-up Kefka,Minion,7
Lesser Panda,Minion,7
Indomitable,Orchestrion,7
Keepers of the Lock,Orchestrion,7
Namazu Neckerchief,Item,100
Spotted Fedora,Item,30
Spotted Spencer,Item,30
Middle La Noscea Riding Map,Item,30
Lower La Noscea Riding Map,Item,30
Eastern La Noscea Riding Map,Item,30
Western La Noscea Riding Map,Item,30
Upper La Noscea Riding Map,Item,30
Outer La Noscea Riding Map,Item,30
Central Shroud Riding Map,Item,30
East Shroud Riding Map,Item,30
South Shroud Riding Map,Item,30
North Shroud Riding Map,Item,30
Western Thanalan Riding Map,Item,30
Central Thanalan Riding Map,Item,30
Eastern Thanalan Riding Map,Item,30
Southern Thanalan Riding Map,Item,30
Northern Thanalan Riding Map,Item,30
Coerthas Central Highlands Riding Map,Item,30
Mor Dhona Riding Map,Item,30
MGP Platinum Card,Item,30
Good King Moggle Mog XII Card,Item,7
Shiva Card,Item,7
Bismarck Card,Item,7
Sophia Card,Item,7
Magicked Prism (Job Mastery),Item,1
