Wind Caller,Bozja,150 Bozjan Clusters
Saintly Style,Skybuilders,1,800 Skybuilders' Scrips
Controlled Chaos,Skybuilders,1,800 Skybuilders' Scrips
Modern Legend,Skybuilders,1800 Skybuilders' Scrips
Great Lengths,Purchase,30,000 MGP
Lucian Locks,Event,Final Fantasy XV Collaboration
Form And Function,Eureka,Happy Bunny Lockbox - Eureka Pyros
Lexen-tails,Purchase,50,000 MGP
Strife,Limited,Community Events Reward
Styled For Hire,Purchase,18,000 Wolf Marks
Gyr Abanian Plait,Deep Dungeon,Heaven-on-High
Fashionably Feathered,Purchase,18,000 Wolf Marks
Master & Commander,Premium,Mog Station (Aymeric's Attire)
Rainmaker,Event,The Make It Rain Campaign
Samsonian Locks,Deep Dungeon,The Palace of the Dead
Scion Special Issue III,Premium,Mog Station (Y'shtola's Modish Attire)
Scion Special Issue II,Premium,Mog Station (Thancred's Modish Attire)
Pulse,Event,Final Fantasy XIII Collaboration
Pulse,Premium,Mog Station (Snow/Lightning's Attire)
Scion Special Issue,Premium,Mog Station (Minfilia's Attire)
Curls,Purchase,9,600 MGP
Adventure,Purchase,14 MGP
Ponytails,Purchase,8,000 MGP
Eternal Bonding,Quest,The Ties That Bind
