1 Khloe's Bronze Certificate of Commendation,1 certificat de mérite de bronze de Khloe,1 Khloe Bronzezertifikat
1 Khloe's Gold Certificate Of Commendation,1 certificat de mérite d'or de Khloe,1 Khloe Goldzertifikat
1 Khloe's Gold Certificate of Commendation,1 certificat de mérite d'or de Khloe,1 Khloe Goldzertifikat
1 Khloe's Silver Certificate Of Commendation,1 certificat de mérite d'argent de Khloe,1 Khloe Silberzertifikat
1 Khloe's Silver Certificate of Commendation,1 certificat de mérite d'argent de Khloe,1 Khloe Silberzertifikat
1 Khloe's Silver Certificate of Commendation,1 certificat de mérite d'argent de Khloe,1 Khloe Silberzertifikat
1 Orthos Tomestone (Clear the 100th floor),1 mémoquartz Orthos (Terminer le 100e sous-sol),1 allagischer Orthos-Stein (Ebene 100 abgeschlossen)
"1,000 Seafarer's Cowries",1 000 assignats insulaires azur,1.000 Blaue Cieldaläen-Kauris
"1,000 Trophy Crystals",1 000 cristaux-trophées,1.000 Kristalltrophäen
"1,000 Wolf Marks",1 000 marques de loup,1.000 Wolfsmarken
"1,000,000 MGP",1 000 000 PGS,1.000.000 MGP
"1,200 MGP",1 200 PGS,1.200 MGP
"1,200 Skybuilders' Scrips",1 200 assignats d'Azurée,1.200 Himmelsstadt-Aufbauscheine
"1,500 MGP",1 500 PGS,1.500 MGP
"1,500 Trophy Crystals",1 500 cristaux-trophées,1.500 Kristalltrophäen
"1,800 Skybuilders' Scrips",1 800 assignats d'Azurée,1.800 Himmelsstadt-Aufbauscheine
Final Fantasy XIV 1.0 Collector's Edition,Édition collector de Final Fantasy XIV 1.0,Final Fantasy XIV 1.0 Collector's Edition
10 Orthos Aetherpool Fragments,10 fragments de substrat magique Orthos ,10 Orthos-Waffengriffe
10 Tomestones of Tenfold Pageantry,10 mémoquartz allagois festifs inhabituels 2023,100 Ungewöhnliche allagische Steine der Festivität 2023
"10,000 Company Seals",10 000 sceaux de compagnie,10.000 Staatstaler
"10,000 MGP",10 000 PGS,10.000 MGP
"10,000 Wolf Marks",10 000 marques de loup,10.000 Wolfsmarken
100 Bozjan Clusters,100 cristaux bozjiens,100 Bozja-Polykristalle
100 Tomestones of Tenfold Pageantry,100 mémoquartz allagois festifs inhabituels 2023,100 Ungewöhnliche allagische Steine der Festivität 2023
"100,000 MGP",100 000 PGS,100.000 MGP
"100,000 Seafarer's Cowries (Sanctuary Rank 20)",100 000 assignats insulaires azur (Rang de félicité 20),100.000 Blaue Cieldaläen-Kauris (Inselstufe 20)
"12,000 Seafarer's Cowries",12 000 assignats insulaires azur,12.000 Blaue Cieldaläen-Kauris
14 MGP,14 PGS,14 MGP
"14,400 MGP",14 400 PGS,14.400 MGP
"15,000 MGP",15 000 PGS,15.000 MGP
"15,000 Wolf Marks",15 000 marques de loup,15.000 Wolfsmarken
150 Bozjan Clusters,150 cristaux bozjiens,150 Bozja-Polykristalle
"150,000 MGP",150 000 PGS,150.000 MGP
"18,000 Seafarer's Cowries",18 000 assignats insulaires azur,18.000 Blaue Cieldaläen-Kauris
"18,000 Wolf Marks",18 000 marques de loup,18.000 Wolfsmarken
180 Bozjan Clusters,180 cristaux bozjiens,180 Bozja-Polykristalle
2 Khloe's Silver Certificates of Commendation,2 certificats de mérite d'argent de Khloe,2 Khloe Silberzertifikate
"2,000,000 MGP",2 000 000 PGS,2.000.000 MGP
"20,000 MGP",20 000 PGS,20.000 MGP
"20,000 MGP (Final Fantasy XVI Collaboration)",20 000 PGS (Collaboration Final Fantasy XVI),20.000 MGP (Final Fantasy XVI Collaboration)
"20,000 MGP (Yo-kai Watch Collaboration - Obtain 17 Yo-kai Minions)",20 000 PGS (Collaboration Yo-Kai Watch - Obtenir 17 mascottes Yo-kai),20.000 MGP (Yo-kai Watch Collaboration - Erhalte 17 Yo-kai Begleiter)
"20,000 Wolf Marks",20 000 marques de loup,20.000 Wolfsmarken
200 MGF (Fall Guys Collaboration),200 CGS (Collaboration Fall Guys),200 MGR (Fall Guys Collaboration)
200 Vegetal Vouchers,200 certificats végétaux,200 Gemüsescheine
"200,000 MGP",200 000 PGS,200.000 MGP
"200,000 MGP (Final Fantasy XVI Collaboration)",200 000 PGS (Collaboration Final Fantasy XVI),200.000 MGP (Final Fantasy XVI Collaboration)
"21,000 MGP",21 000 PGS,21.000 MGP
"21,000 MGP (only available during the ""The Make It Rain Campaign"" event)","21 000 PGS (Ne peut être obtenu que pendant l'évènement ""Le festival du Gold Saucer"")","21.000 MGP (nur während des ""Gold Saucer-Festivals"" erhältlich)"
"22,400 MGP",22 400 PGS,22.400 MGP
220 MGF (Fall Guys Collaboration),220 CGS (Collaboration Fall Guys),220 MGR (Fall Guys Collaboration)
"24,000 Seafarer's Cowries (Sanctuary Rank 10)",24 000 assignats insulaires azur (Rang de félicité 10),24.000 Blaue Cieldaläen-Kauris (Inselstufe 10)
"24,800 MGP",24 800 PGS,24.800 MGP
25 Bozjan Clusters,25 cristaux bozjiens,25 Bozja-Polykristalle
3 Bozjan Clusters,3 cristaux bozjiens,3 Bozja-Polykristalle
"3,000 Seafarer's Cowries",3 000 assignats insulaires azur,3.000 Blaue Cieldaläen-Kauris
